フワフワのねこおおかみねこおおかみ?,フワフワのねこおおかみｲｪｱ🐈
LINEスタンプ幾つぐらい買ってますか？,いくつかしらぁ忘れたわ🐈
肉派？魚派？野菜派？,魚介類派🐈
にゃんこ〜,にゃんよ～
ある人が、人型の獣人書いていた人が着ぐるみになるとケモノ脚をデザインして悲しいと言ってましたが、これは絵師さんに,いや、いろいろな意見があってこそなのでいいと思います
自分らしさって何だと思いますか？,他人と比べた差異のなかで自分が愛せたもの
一番好きな飲み物はなんですか？私はジンジャエールです(笑),カフェオレです🐈
恋愛で肉食ですか？草食ですか？,肉食です ねこおおかみなのでね(｀□´)
香港か上海のディズニーランド行ったことありますか？,僕が行ったことある国は大学生の時のフィンランド、デンマーク、ノルウェー、タイ、フィリピン、だけです
けもケットで新刊でますか？,でます…(’､3)_ヽ)＿
関西けもケット参加しますか？,それはわからん
イジメる（意味深）なら年上？年下？,上、下ではないな
根に持つことはよくないことですか？ 人にされた嫌なことをずっと根に持ってしまいます。,生産性も行動力も下がるし何にもいいことないですね。難しいことですが、その人の存在を一片残さず全て忘れ去りましょう
結婚して！！,断る‼️
年下の恋人ってアリですか？,なしかなぁ
親友いますか？どんな人？,Shuにゃん、ただっちくん、青にゃん
大切な人が悩んでいたり落ち込んでいる時に力になれなくて､自己肯定感下がって友達関係すらやめたくなります。どうした,アドラー心理学で 「馬を水辺に連れて行くことはできても、水を飲ませることはできない。」ということが語られます🐈、落ち込むのは当事者の課題なので あなたにできることは以外とありません🐈  
好きなブランドは無印良品ですか？,Paul Smith
そろそろ俺に飯を奢っても罰当たらんぞ,お～誰かな🐈
酢豚にパイナップルはどれくらいあり？,アリーヴェデルチ
将来的には起業したいですか？,企業もしたいし、何より不労所得を築きたいから今めっちゃ勉強してる🐈
どこかにいそうって言われません？,フワフワのねこおおかみだからね
尊敬してる絵師はいますか？,石田スイ先生🐈
一言で言って自分はどんなひと？,フワフワのねこおおかみ
えんリけさんは我が道を行くほうですか？人に合わせるほうですか？,人に合わせる気が微塵もない 我が道をいく
ひそかにずっと応援してます。 ほどほどに頑張って下さいね！,ありがとうだってばよ でもCASとかサークルに遊びに来てくれた方が嬉しい
普段メルカリで売ったりしますか？,取引回数230回です ２年くらい使ってます
誕生日に欲しいものは何ですか？,パンツ
英語以外なら何語を勉強しますか？,自分が興味あるやつ
ペロペロペロペロペロペロ,ｷﾝｸﾞｸﾘﾑｿﾞﾝｯ (oﾟ∀ﾟ)=○)´3｀)∴
最後の晩餐は何食べたいですか？,ウニが好きなのでウニですかねあとイクラちゃん
胸キュンしてしまう仕草を教えてください,撫で
好きなアーティストは誰ですか？どの曲がおすすめかも知りたいです。聞いてみます！,Eveさんの 僕らまだアンダーグラウンド がオススメ🐈
自分を動物に例えると？,ねこおーかみ🐱🐺
Youtuberの生き方について賛成ですか？反対ですか？,賛成 他人がとやかく言うことじゃない
おれと同盟を組んで一緒にやらないか！,🐈???????????
ディズニー派ですか？ジブリ派ですか？,でずにー
脱衣ボドゲは最終的に全裸になってしまうのでしょうか,いえ、パンツで止まるのが脱衣ボドゲです
大阪どうですか？,え、たのしーですよ てきとーに
ねこおーかみくんはどんな乗り物が似合うと思いますか？？,ヨツンヴァインのドM
うつ病の人に「もうほっといてくれ」って言われたんだけどほっといた方がいいの？,ほっとく
将来はどうなってる？,どうなるかにゃぁ🐈読めないにゃぁ
尊敬してる先輩っている？,人生でいすぎて数えられないな…中学の塾の先生、研究室でいつも可愛がってくれた先輩…
グループでカラオケに行ったらORANGE RANGEは鉄板だよね？,うるせ～🐈知らね～🐈 ファイナツファンタジー
悩みとかある？,あるよ、だいたい誰しも常に悩み苦しんでるものよ🐈
花火はやっぱ浴衣着ていく？,花火大会はいつも甚平でいってる
体には気をつけてください ドーナツ…お疲れ様でした,ありがとう、ちなみに身体より先にメンタルいくタイプ
ついつい横になりながらしてしまうことは？,ﾅﾃﾞﾅﾃﾞ
いつもは恥ずかしくて伝えられない、お父さんへの思いを一言！！,最近ポヨってますねぇ
遠距離なんですが毎日通話ってした方がいいのかな？,しなくてよい
束縛激しい系の恋人ってどうですか？,めんどい🐈
初めてのデートは、水族館と動物園どっちがいい？,水族館かね、涼しいし
えんリけさん！ヤッホイ！ だれでしょーかっ！！？？,わかんにゃい🐈
えんりけさんは男性経験はありますか ？ある場合受けと攻めはどちらが好きですか？,ありますよ。タチしかできませんが
どれくらいからリア充ですか？,１２０りけ
ねぇ、今どんな気持ち?,フワフワの気持ち
何なら日本一になれる？,フワフワ感🐈
匿名だからといってなんでも聞いていいわけちゃうんやで？と思うのですが共感できますか？？？,共感しますね。人って匿名だと悪いことしますからね、だからこそ気を付けたいですね。
高齢化が止まらない日本は終わりですかね？,とっくにおしまいですよ こんなくに🐈
修学旅行にどこ行った？,ニュージーランド 京都 長崎、広島 フィンランド デンマーク かな🐈
ペット飼いたい？,もうかっている
今日も一日もお疲れ様でした！！,ありがとう❗🐈
本はいつも売る派ですか？捨てる派ですか？,捨てるかな
どうすればTwitterでバズれるか何かアイデアありません？,どうすれば、バズるかはよくわかりませんが、 僕の尊敬する心理学の先生が大切なのはフォロワー数を増やし、その中のリアクション起こしてくれる支持者の割合をどれだけ増やすかが大事と言ってました。そういう基盤が出来上がれば、おのずとバズるんではないでしょうか
好きな人がいるんですが、自分から積極的になった方がいいんですかね？,でなければ、他の人にとられておしまいです
目玉焼きは半熟ですか、カチカチですか？,ｶﾁｶﾁ
友達に影で悪口言われてる気がして怖いです,それは気にしないことねこぉ
ねこおかーみは英名とかあるのですか,にゃーうるふ🐈
束縛はどこまでなら許せる?,フワフワ感があれば
家にプールあったらよくない？,いいねぇ、自宅に設計したいそうしたい
自分って偏食だなっておもう？？,🍩🐈
人間関係のストレスを忘れて仕事に打ち込むには、どんな考え方をしたらいい？,何かに夢中になる
寿司で一番好きなネタは？,エンガワがすきです🐈
ウサギ以上に愛くるしい生き物っているとおもいますか？,俺の勝ち!! 何でねこおおかみに負けたのか 明日までに考えておいてください そしたら、なにかが見えてくるはずです
メルカリとラクマどっち派ですか？,どっちも使ってるけど メルカリ
今まで誰にも言ってない秘密を教えて！,えーとね、えーーーとね、実は漫画を描こうとしてたじきがあったけど、挫折した
ニックネームは大体いくつあるんですか？,６
アクセサリーとかつける時どんな色選びがち？,ねこおおかみアクセサリーは黒って決めてます🐈
仲良くなりたい人はいますか？,こーがみさん
どのくらいの人数と付き合ったの？,４(女２、男２)
お気に入りのバッグってどこ？,Paul Smithと、最近はコートエシエルばっかり使ってる
好みの顔の芸能人は！,興味なし
男女内の友情ってあると思いますか？,ある に３票
小さな頃のけーどろってなんであんなに楽しかったんだろ？？,なんでだろ🐈 僕もめちゃくちゃやったけど
もし過去に戻れるとしたら戻りたい？,ぜんぜん、戻らなくていい 今に満足してる
子供のころになりたかった職業は？,子供の頃は宇宙飛行士になりたかった🐈
コミッション健全のみですか？,R18もぜんぜんおkですよ❗お値段そのままです‼️
洋服ってこだわる派ですか？,めっちゃこだわりある Paul SmithのシャツとドクターマーチンとCalvin Kleinのパーカーよく愛用してます
愛とは何だと思いますか？恋とは何だと思いますか？,愛って相互で成立してて 恋って一方通行の妄想が暴走してる イメージ
ジョジョのスタンドで一番好きなスタンドは誰ですか〜(°▽°)？ (僕はゴールドエクスペリエンスです(￣∀￣),メタリカとキラークイーンが凄く好き～ あとグリーンデイ、マンハッタントランスファー、ザグレイトフルデッドも!
あなたに何を質問したら良いのでしょうか？,知りませーん🐈
好きなお肉の部位はなんですか？,ほるもーん
下ネタで笑い取るのってあんまりよくないですよね,いいんじゃないですか‼️僕は好き❗
旅行に行った時の「あるある」は何ですか？,歯ブラシを忘れる
絶に対恋愛対象にならない人とかいますか？ いたらそれはどんな人ですか？,頼りない年上
クラゲってなんであんなに癒されるんですかね？,そう🐈
とんかつは塩ですかソースですか？,ソース(о´∀`о)
今一番欲しいものは何？,デイトナ
お口がさみしいときは、飴？ガム？,ガム🐈
海外移住するならどこに住みたいですか？,すいす
嫌なことからは逃げてしまいますか？受け止められますか？,わりと闘う派
ネットとリアルで態度が全然違うって言われるんですけどどうしたらいいと思いますか,🐈いきらない
約束した時間を守れない人のことどう思いますか？,場合による、常習は嫌だね
マンガアプリにハマってるんですけど、おすすめのマンガとかあります？,東京グール🐈
えんりけさんバイトはしてますか?,今までコミケのスタッフ、塾講師、cadオペしたことあります。ここ一年は投資で稼げてるのでバイトはしてません。できた時間は研究と絵にまわしてます🐈
質問が来ないと寂しいでしょうか？,ぜんぜん
いつも何時間くらい寝てる？,２～８くらい、でも６時間くらいは欲しいす 別にショートスリーパーではないので
恋人には優しくされたい？優しくしたい？？,優しくされたい派🐈
寒い日に暖かい部屋で食べるアイスって好きですか？,しゅき
国民的アニメといえば！？,ジョジョ
視力良い？裸眼？眼鏡？コンタクト？,悪い、コンタクトと眼鏡どっちも使ってる
もし自分が総理大臣だったらどうします？,マイノリティが自分らしく生きられる環境を 学校に敷きます
宇宙旅行ができるとしたらどの星に行きたい？ちなみに僕は木星,土星の輪を衛星軌道上から見たいね🐈 自重でつぶれるから近づきたくないが
義理チョコってどう思いますか？,とても欲しいチョコ好き
学校の授業で一番退屈なのは？,一方通行の授業
えんリけさんは通販のアマゾンでお買い物しますか？,しますー
好きな企業は？,いつも同人誌でお世話になってるとこ
未練たらたらで別れました、、 喧嘩や嫌いになられたわけじゃないです。 復縁できそうですか？？,僕は一度別れたら復縁はないです 写真も連絡先も全部消して一晩寝て存在も忘れます。
オシャレになるためにはまず何から手をつけたほうがいいですか？,アウター
苦手な食べ物と、理由をどうぞ！,サザエ、ちょっと磯臭くてニガテ🐈
電車で席を譲るの勇気要りません？,いりませーん
おすすめのカップラーメンは？,猛虎湯麺中本が大好き🐈
